"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"10 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"BOLLORE NV";"FR0013358041";"BOLNV";"Euronext Paris";"EUR";"3.56";"3.594";"3.56";"3.594";"10/01/2019 16:30";"CET";"422";"1516.60"
"BONDUELLE";"FR0000063935";"BON";"Euronext Paris";"EUR";"31.00";"31.10";"30.85";"30.85";"10/01/2019 17:35";"CET";"9032";"279508.40"
"BONE THERAPEUTICS";"BE0974280126";"BOTHE";"Euronext Brussels, Paris";"EUR";"4.95";"4.98";"4.80";"4.975";"10/01/2019 17:35";"CET";"15338";"75300.745"
"BOSKALIS WESTMIN";"NL0000852580";"BOKA";"Euronext Amsterdam";"EUR";"22.89";"22.94";"22.44";"22.89";"10/01/2019 17:35";"CET";"191409";"4357761.59"
"BOURBON CORP.";"FR0004548873";"GBB";"Euronext Paris";"EUR";"3.76";"3.76";"3.68";"3.735";"10/01/2019 17:35";"CET";"26683";"99363.015"
"BOURRELIER GROUP";"FR0000054421";"ALBOU";"Euronext Growth Paris";"EUR";"41.20";"41.20";"41.20";"41.20";"10/01/2019 16:30";"CET";"816";"33619.20"
"BOURSE DIRECT";"FR0000074254";"BSD";"Euronext Paris";"EUR";"1.14";"1.20";"1.09";"1.09";"10/01/2019 15:06";"CET";"17318";"19852.69"
"BOUSSARD GAVAUD C";"GG00B1XFMJ13";"BGHLC";"Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BOUSSARD GAVAUDAN";"GG00B1FQG453";"BGHL";"Euronext Amsterdam";"EUR";"17.00";"17.20";"17.00";"17.20";"10/01/2019 17:35";"CET";"520";"8873.50"
"BOUSSARD GHL GBP";"GG00B39VMM07";"BGHS";"Euronext Amsterdam";"GBP";"10.00";"10.00";"10.00";"10.00";"21/12/2010 11:50";"CET";"188";"1880.00"
"BOUYGUES";"FR0000120503";"EN";"Euronext Paris";"EUR";"30.01";"30.51";"29.76";"30.43";"10/01/2019 17:37";"CET";"835731";"25338923.82"
"BOUYGUES NV19";"FR0013381464";"ENNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BPOST";"BE0974268972";"BPOST";"Euronext Brussels";"EUR";"7.77";"7.89";"7.725";"7.825";"10/01/2019 17:35";"CET";"312043";"2435010.185"
"BQUE NAT. BELGIQUE";"BE0003008019";"BNB";"Euronext Brussels";"EUR";"2470.00";"2470.00";"2460.00";"2470.00";"10/01/2019 17:21";"CET";"55";"135470.00"
"BRAS.OUEST AFRIC.";"SN0008626971";"BOAF";"Euronext Paris";"EUR";"660.00";"680.00";"660.00";"680.00";"10/01/2019 16:30";"CET";"4";"2680.00"
"BRASSERIE CAMEROUN";"CM0000035113";"BCAM";"Euronext Paris";"EUR";"86.50";"86.50";"86.50";"86.50";"20/12/2018 16:30";"CET";"284";"24566.00"
"BREDERODE";"LU1068091351";"BREB";"Euronext Brussels";"EUR";"54.20";"54.40";"52.90";"52.90";"10/01/2019 17:35";"CET";"6559";"352607.40"
"BRILL KON";"NL0000442523";"BRILL";"Euronext Amsterdam";"EUR";"19.90";"19.90";"18.70";"18.70";"10/01/2019 17:22";"CET";"258";"4963.70"
"BROOKFIELD ASSET M";"CA1125851040";"BAMA";"Euronext Amsterdam";"EUR";"29.80";"29.80";"29.80";"29.80";"23/07/2014 17:35";"CET";"450";"13410.00"
"BRUNEL INTERNAT";"NL0010776944";"BRNL";"Euronext Amsterdam";"EUR";"11.60";"11.77";"11.48";"11.73";"10/01/2019 17:35";"CET";"37687";"440612.06"
"BUDGET TELECOM";"FR0004172450";"ALBUD";"Euronext Growth Paris";"EUR";"3.00";"3.39";"2.922";"3.242";"10/01/2019 17:35";"CET";"162233";"520863.382"
"BUDGET TELECOM BS";"FR0013307329";"BUDBS";"Euronext Growth Paris";"EUR";"0.185";"0.2263";"0.1692";"0.2263";"10/01/2019 17:24";"CET";"32317";"6383.516"
"BUREAU VERITAS";"FR0006174348";"BVI";"Euronext Paris";"EUR";"18.155";"18.65";"18.10";"18.625";"10/01/2019 17:35";"CET";"1108222";"20544328.33"
"BURELLE";"FR0000061137";"BUR";"Euronext Paris";"EUR";"880.00";"900.00";"880.00";"890.00";"10/01/2019 17:35";"CET";"40";"35442.00"
"BUSINESS ET DECIS.";"FR0000078958";"BND";"Euronext Paris";"EUR";"7.46";"7.46";"7.46";"7.46";"09/01/2019 16:34";"CET";"12";"89.52"
"CA TOULOUSE 31 CCI";"FR0000045544";"CAT31";"Euronext Paris";"EUR";"112.76";"113.40";"112.76";"113.40";"10/01/2019 13:02";"CET";"3";"339.56"
"CAFOM";"FR0010151589";"CAFO";"Euronext Paris";"EUR";"5.50";"5.50";"5.50";"5.50";"10/01/2019 09:00";"CET";"1";"5.50"
"CAIRE";"FR0010781377";"MLAAE";"Euronext Access Paris";"EUR";"7.90";"7.90";"7.90";"7.90";"09/01/2019 16:30";"CET";"43";"339.70"
"CAMBODGE NOM.";"FR0000079659";"CBDG";"Euronext Paris";"EUR";"5600.00";"5600.00";"5600.00";"5600.00";"20/12/2018 17:02";"CET";"2";"11200.00"
"CAMPINE";"BE0003825420";"CAMB";"Euronext Brussels";"EUR";"26.60";"26.80";"26.60";"26.80";"10/01/2019 16:30";"CET";"294";"7829.60"
"CANDELA INVEST";"BE0974298300";"CAND";"Euronext Growth Brussels";"EUR";"3.50";"3.50";"3.50";"3.50";"05/12/2018 16:30";"CET";"16";"56.00"
"CAPELLI";"FR0012969095";"CAPLI";"Euronext Paris";"EUR";"32.20";"33.80";"31.40";"33.80";"10/01/2019 17:35";"CET";"1936";"62163.70"
"CAPGEMINI";"FR0000125338";"CAP";"Euronext Paris";"EUR";"89.90";"90.90";"89.34";"90.90";"10/01/2019 17:35";"CET";"696906";"62943090.02"
"CARBIOS";"FR0011648716";"ALCRB";"Euronext Growth Paris";"EUR";"5.18";"5.18";"4.925";"5.00";"10/01/2019 17:14";"CET";"2555";"12810.20"
"CARE PROPERTY INV.";"BE0974273055";"CPINV";"Euronext Brussels";"EUR";"20.20";"20.40";"20.00";"20.40";"10/01/2019 17:35";"CET";"14888";"301175.50"
"CARMAT";"FR0010907956";"ALCAR";"Euronext Growth Paris";"EUR";"26.90";"28.90";"26.55";"28.90";"10/01/2019 17:35";"CET";"28925";"798735.00"
"CARMILA";"FR0010828137";"CARM";"Euronext Paris";"EUR";"16.10";"16.18";"16.02";"16.10";"10/01/2019 17:35";"CET";"23490";"378017.62"
"CARPINIENNE PART.";"FR0000064156";"CARP";"Euronext Paris";"EUR";"45.60";"45.60";"45.60";"45.60";"17/10/2018 16:30";"CET";"1";"45.60"
"CARREFOUR";"FR0000120172";"CA";"Euronext Paris";"EUR";"15.78";"15.83";"15.49";"15.81";"10/01/2019 17:39";"CET";"2626631";"41378125.28"
"CASINO GUICHARD";"FR0000125585";"CO";"Euronext Paris";"EUR";"36.04";"36.04";"35.50";"36.00";"10/01/2019 17:36";"CET";"477724";"17143413.27"
"CAST";"FR0000072894";"CAS";"Euronext Paris";"EUR";"3.88";"3.88";"3.80";"3.80";"10/01/2019 12:04";"CET";"895";"3447.95"
"CATANA GROUP";"FR0010193052";"CATG";"Euronext Paris";"EUR";"2.775";"2.87";"2.66";"2.86";"10/01/2019 17:35";"CET";"232772";"648330.765"
"CATERING INTL SCES";"FR0000064446";"CTRG";"Euronext Paris";"EUR";"9.36";"9.38";"9.22";"9.28";"10/01/2019 17:35";"CET";"1919";"17838.38"
"CATERPILLAR INC";"US1491231015";"CATR";"Euronext Paris";"EUR";"111.50";"111.50";"111.50";"111.50";"10/01/2019 15:30";"CET";"10";"1115.00"
"CBO TERRITORIA";"FR0010193979";"CBOT";"Euronext Paris";"EUR";"3.32";"3.35";"3.28";"3.31";"10/01/2019 17:16";"CET";"19216";"63519.56"
"CECURITY.COM";"FR0010717579";"MLCEC";"Euronext Access Paris";"EUR";"0.43";"0.43";"0.43";"0.43";"08/01/2019 16:30";"CET";"7000";"3010.00"
"CEGEDIM";"FR0000053506";"CGM";"Euronext Paris";"EUR";"22.30";"22.30";"21.80";"22.00";"10/01/2019 17:35";"CET";"2100";"46247.40"
"CEGEREAL";"FR0010309096";"CGR";"Euronext Paris";"EUR";"34.20";"34.60";"33.80";"34.60";"10/01/2019 17:10";"CET";"322";"10972.80"
"CELLECTIS";"FR0010425595";"ALCLS";"Euronext Growth Paris";"EUR";"16.08";"16.22";"15.88";"16.13";"10/01/2019 17:35";"CET";"20839";"334509.51"
"CELLNOVO";"FR0012633360";"CLNV";"Euronext Paris";"EUR";"1.582";"1.78";"1.568";"1.734";"10/01/2019 17:35";"CET";"391488";"662670.516"
"CELYAD";"BE0974260896";"CYAD";"Euronext Brussels, Paris";"EUR";"20.10";"21.32";"19.85";"20.40";"10/01/2019 17:35";"CET";"45652";"931665.98"
"CENERGY";"BE0974303357";"CENER";"Euronext Brussels";"EUR";"1.196";"1.196";"1.182";"1.182";"08/01/2019 12:01";"CET";"3250";"3861.80"
"CERENIS";"FR0012616852";"CEREN";"Euronext Paris";"EUR";"0.499";"0.499";"0.476";"0.481";"10/01/2019 16:52";"CET";"90083";"43539.231"
"CERINNOV GROUP";"FR0013178712";"ALPCV";"Euronext Growth Paris";"EUR";"4.64";"4.68";"4.61";"4.68";"10/01/2019 16:54";"CET";"141";"657.74"
"CESAR";"FR0013297165";"ALCES";"Euronext Growth Paris";"EUR";"0.11";"0.11";"0.11";"0.11";"10/01/2019 11:30";"CET";"2261";"248.71"
"CFE";"BE0003883031";"CFEB";"Euronext Brussels";"EUR";"90.00";"90.40";"88.70";"89.40";"10/01/2019 17:35";"CET";"8938";"798417.30"
"CFI";"FR0000037475";"CFI";"Euronext Paris";"EUR";"1.23";"1.23";"1.23";"1.23";"04/01/2019 16:30";"CET";"10";"12.30"
"CFM INDOSUEZWEALTH";"MC0010000826";"MLCFM";"Euronext Access Paris";"EUR";"1100.00";"1100.00";"1100.00";"1100.00";"02/01/2019 11:30";"CET";"3";"3300.00"
"CGG";"FR0013181864";"CGG";"Euronext Paris";"EUR";"1.442";"1.528";"1.406";"1.505";"10/01/2019 17:35";"CET";"9374532";"13924299.762"
"CGG BSA 1";"FR0013309614";"CGGBS";"Euronext Paris";"EUR";"0.2701";"0.28";"0.25";"0.28";"10/01/2019 16:15";"CET";"13220";"3594.744"
"CGG BSA 2";"FR0013309622";"CGGBT";"Euronext Paris";"EUR";"0.0932";"0.0932";"0.085";"0.089";"10/01/2019 15:52";"CET";"12418";"1066.318"
"CGG RGT NV19";"FR0013384310";"CGGNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"CH.FER DEPARTEMENT";"FR0000037871";"MLCFD";"Euronext Access Paris";"EUR";"800.00";"800.00";"800.00";"800.00";"22/10/2018 11:30";"CET";"2";"1600.00"
"CH.FER VAR GARD N.";"FR0000051567";"MLCVG";"Euronext Access Paris";"EUR";"4600.00";"4600.00";"4600.00";"4600.00";"04/12/2018 11:30";"CET";"1";"4600.00"
"CHARGEURS";"FR0000130692";"CRI";"Euronext Paris";"EUR";"18.80";"18.99";"18.47";"18.83";"10/01/2019 17:35";"CET";"38186";"715898.49"
"CHAUSSERIA";"FR0000060907";"CHSR";"Euronext Paris";"EUR";"7.70";"7.70";"7.70";"7.70";"19/11/2018 11:30";"CET";"20";"154.00"
"CHEOPS TECHNOLOGY";"FR0010447086";"MLCHE";"Euronext Access Paris";"EUR";"34.60";"34.60";"34.60";"34.60";"31/12/2018 11:30";"CET";"1";"34.60"
"CHEVRON";"US1667641005";"CHTEX";"Traded not listed Brussels";"USD";"113.00";"113.00";"113.00";"113.00";"29/03/2018 17:07";"CET";"50";"4585.66"
"CHRISTIAN DIOR";"FR0000130403";"CDI";"Euronext Paris";"EUR";"349.90";"351.50";"346.80";"349.00";"10/01/2019 17:35";"CET";"22850";"7972638.80"
"CIBOX INTER A CTIV";"FR0000054322";"CIB";"Euronext Paris";"EUR";"0.1255";"0.126";"0.119";"0.119";"10/01/2019 17:35";"CET";"164594";"20140.538"
"CIE BOIS SAUVAGE";"BE0003592038";"COMB";"Euronext Brussels";"EUR";"381.00";"385.00";"379.00";"379.00";"10/01/2019 17:35";"CET";"138";"52653.00"
"CIE DU MONT BLANC";"FR0000060428";"MLCMB";"Euronext Access Paris";"EUR";"148.00";"148.00";"148.00";"148.00";"09/01/2019 11:30";"CET";"265";"39220.00"
"CIOA";"FR0012384907";"MLCIO";"Euronext Access Paris";"EUR";"2.98";"2.98";"2.98";"2.98";"10/01/2019 16:30";"CET";"2970";"8850.60"
"CISCO SYSTEM INC";"US17275R1023";"CIS";"Traded not listed Brussels";"USD";"42.70";"42.70";"42.70";"42.70";"07/01/2019 09:04";"CET";"2";"74.62"
"CLARANOVA";"FR0004026714";"CLA";"Euronext Paris";"EUR";"0.67";"0.679";"0.645";"0.665";"10/01/2019 17:35";"CET";"3333453";"2204641.8985"
"CLASQUIN";"FR0004152882";"ALCLA";"Euronext Growth Paris";"EUR";"33.50";"33.60";"33.50";"33.60";"10/01/2019 17:04";"CET";"5";"167.80"
"CNIM CONSTR.FRF 10";"FR0000053399";"COM";"Euronext Paris";"EUR";"84.20";"84.40";"84.20";"84.40";"10/01/2019 14:39";"CET";"38";"3207.00"
"CNOVA";"NL0010949392";"CNV";"Euronext Paris";"EUR";"3.62";"3.62";"3.62";"3.62";"10/01/2019 09:02";"CET";"201";"727.62"
"CNP ASSURANCES";"FR0000120222";"CNP";"Euronext Paris";"EUR";"18.65";"18.98";"18.62";"18.98";"10/01/2019 17:35";"CET";"276303";"5223678.34"
"CO.BR.HA";"BE0003519270";"COBH";"Euronext Growth Brussels";"EUR";"4000.00";"4000.00";"4000.00";"4000.00";"10/01/2019 12:18";"CET";"1";"4000.00"
"COCA-COLA EUROPEAN";"GB00BDCPN049";"CCEP";"Euronext Amsterdam, London";"EUR";"40.88";"40.88";"40.04";"40.36";"10/01/2019 17:38";"CET";"37311";"1504790.78"
"COFACE";"FR0010667147";"COFA";"Euronext Paris";"EUR";"7.97";"8.09";"7.77";"8.06";"10/01/2019 17:35";"CET";"352456";"2819183.43"
"COFIDUR";"FR0013257409";"ALCOF";"Euronext Growth Paris";"EUR";"324.00";"324.00";"318.00";"318.00";"10/01/2019 15:56";"CET";"31";"9969.00"
"COFINA,SGPS";"PTCFN0AE0003";"CFN";"Euronext Lisbon";"EUR";"0.576";"0.59";"0.576";"0.58";"10/01/2019 21:23";"BST";"7923";"4617.17"
"COFINIMMO";"BE0003593044";"COFB";"Euronext Brussels";"EUR";"110.50";"111.80";"110.50";"110.90";"10/01/2019 17:35";"CET";"36451";"4051135.70"
"COFINIMMO PRIV1";"BE0003811289";"COFP1";"Euronext Brussels";"EUR";"127.00";"127.00";"127.00";"127.00";"01/08/2016 11:30";"CET";"16";"2032.00"
"COFINIMMO PRIV2";"BE0003813301";"COFP2";"Euronext Brussels";"EUR";"107.00";"107.00";"107.00";"107.00";"18/12/2018 11:30";"CET";"150";"16050.00"
"COGELEC";"FR0013335742";"COGEC";"Euronext Paris";"EUR";"6.811";"6.83";"6.811";"6.83";"10/01/2019 17:35";"CET";"391";"2670.511"
"COGIFRANCE";"FR0005516804";"MLCOI";"Euronext Access Paris";"EUR";"590.50";"-";"-";"590.50";"05/04/2007 00:00";"CET";"-";"-"
"COGRA";"FR0011071570";"ALCOG";"Euronext Growth Paris";"EUR";"5.95";"6.20";"5.40";"5.50";"10/01/2019 17:29";"CET";"16059";"92649.75"
"COHERIS";"FR0004031763";"COH";"Euronext Paris";"EUR";"1.60";"1.645";"1.545";"1.645";"10/01/2019 17:12";"CET";"7329";"11693.98"
"COIL";"BE0160342011";"ALCOI";"Euronext Growth Paris";"EUR";"9.71";"9.71";"9.71";"9.71";"10/01/2019 09:52";"CET";"335";"3252.85"
"COLAS";"FR0000121634";"RE";"Euronext Paris";"EUR";"135.60";"136.40";"135.20";"136.40";"10/01/2019 17:35";"CET";"179";"24349.00"
"COLIPAYS";"FR0010959684";"MLCLP";"Euronext Access Paris";"EUR";"5.30";"5.30";"5.30";"5.30";"10/01/2019 16:39";"CET";"330";"1749.00"
"COLRUYT";"BE0974256852";"COLR";"Euronext Brussels";"EUR";"62.86";"64.00";"62.80";"63.94";"10/01/2019 17:38";"CET";"378356";"24107886.54"
"COMPTA";"PTCOM0AE0007";"COMAE";"Euronext Lisbon";"EUR";"0.11";"0.11";"0.11";"0.11";"10/01/2019 19:46";"BST";"217";"23.87"
"CONDOR TECHNOLOG";"BE6252013725";"MLMFI";"Euronext Access Paris";"EUR";"16.20";"16.20";"16.20";"16.20";"20/11/2018 16:30";"CET";"2000";"32400.00"
"CONDURIL";"PTCDU0AE0003";"CDU";"Euronext Access Lisbon";"EUR";"41.40";"41.40";"41.40";"41.40";"07/01/2019 16:30";"BST";"100";"4140.00"
"CONNECT GROUP";"BE0003786036";"CONN";"Euronext Brussels";"EUR";"1.51";"1.51";"1.51";"1.51";"10/01/2019 09:57";"CET";"3400";"5134.00"
"CONSORT NT";"FR0000077828";"MLCNT";"Euronext Access Paris";"EUR";"20.20";"20.20";"20.20";"20.20";"21/11/2017 16:33";"CET";"12";"242.40"
"COPAM";"PTCPA0AP0006";"CPA";"Euronext Access Lisbon";"EUR";"12.60";"12.60";"12.60";"12.60";"06/12/2018 21:30";"BST";"20";"252.00"
"CORBION";"NL0010583399";"CRBN";"Euronext Amsterdam";"EUR";"25.00";"25.54";"24.96";"25.50";"10/01/2019 17:35";"CET";"45456";"1153677.56"
"CORE LABORATORIES";"NL0000200384";"CLB";"Euronext Amsterdam";"EUR";"59.00";"60.00";"59.00";"60.00";"10/01/2019 16:50";"CET";"276";"16376.00"
"COREP LIGHTING";"FR0010035816";"MLCOR";"Euronext Access Paris";"EUR";"9.60";"9.60";"9.60";"9.60";"22/02/2018 11:30";"CET";"125";"1200.00"
"CORTICEIRA AMORIM";"PTCOR0AE0006";"COR";"Euronext Lisbon";"EUR";"9.49";"9.49";"9.41";"9.48";"10/01/2019 22:35";"BST";"18597";"176176.13"
"COURBET";"FR0004998318";"MLCOU";"Euronext Access Paris";"EUR";"0.30";"0.30";"0.30";"0.30";"23/08/2018 16:30";"CET";"3";"0.90"
"COURBET AM.";"FR0004998326";"CRBT";"Euronext Access Paris";"EUR";"0.98";"0.98";"0.98";"0.98";"18/10/2017 16:30";"CET";"27";"26.46"
"COURTOIS";"FR0000065393";"COUR";"Euronext Paris";"EUR";"126.00";"126.00";"126.00";"126.00";"10/01/2019 11:30";"CET";"1";"126.00"
"COVIVIO";"FR0000064578";"COV";"Euronext Paris";"EUR";"84.65";"84.90";"83.95";"84.25";"10/01/2019 17:35";"CET";"167685";"14123343.70"
"COVIVIO HOTELS";"FR0000060303";"COVH";"Euronext Paris";"EUR";"24.70";"24.80";"24.40";"24.40";"10/01/2019 17:35";"CET";"548";"13442.70"
"CRCAM ALP.PROV.CCI";"FR0000044323";"CRAP";"Euronext Paris";"EUR";"110.22";"110.42";"110.22";"110.40";"10/01/2019 17:20";"CET";"24";"2648.06"
"CRCAM ATL.VEND.CCI";"FR0000185506";"CRAV";"Euronext Paris";"EUR";"133.98";"133.98";"133.98";"133.98";"10/01/2019 09:00";"CET";"6";"803.88"
"CRCAM BRIE PIC2CCI";"FR0010483768";"CRBP2";"Euronext Paris";"EUR";"25.70";"25.70";"25.30";"25.645";"10/01/2019 16:37";"CET";"2310";"58984.96"
"CRCAM ILLE-VIL.CCI";"FR0000045213";"CIV";"Euronext Paris";"EUR";"101.86";"102.74";"101.84";"102.74";"10/01/2019 11:04";"CET";"266";"27107.82"
"CRCAM LANGUED CCI";"FR0010461053";"CRLA";"Euronext Paris";"EUR";"75.35";"75.35";"75.35";"75.35";"10/01/2019 09:59";"CET";"147";"11076.45"
"CRCAM LOIRE HTE L.";"FR0000045239";"CRLO";"Euronext Paris";"EUR";"94.39";"94.39";"93.81";"93.81";"10/01/2019 10:51";"CET";"17";"1595.35"
"CRCAM MORBIHAN CCI";"FR0000045551";"CMO";"Euronext Paris";"EUR";"86.13";"86.13";"84.50";"84.51";"09/01/2019 17:29";"CET";"342";"29019.62"
"CRCAM NORD CCI";"FR0000185514";"CNF";"Euronext Paris";"EUR";"22.40";"22.50";"22.25";"22.50";"10/01/2019 17:35";"CET";"3683";"82348.55"
"CRCAM NORM.SEINE";"FR0000044364";"CCN";"Euronext Paris";"EUR";"129.82";"129.90";"129.82";"129.90";"10/01/2019 14:30";"CET";"69";"8963.02"
"CRCAM PARIS ET IDF";"FR0000045528";"CAF";"Euronext Paris";"EUR";"89.76";"90.80";"89.40";"90.68";"10/01/2019 17:35";"CET";"1742";"156482.74"
"CRCAM SUD R.A.CCI";"FR0000045346";"CRSU";"Euronext Paris";"EUR";"200.60";"200.90";"200.60";"200.90";"10/01/2019 17:35";"CET";"9";"1807.80"
"CRCAM TOURAINE CCI";"FR0000045304";"CRTO";"Euronext Paris";"EUR";"115.00";"115.02";"115.00";"115.00";"10/01/2019 15:48";"CET";"84";"9660.02"
"CREDIT AGRICOLE";"FR0000045072";"ACA";"Euronext Paris";"EUR";"9.709";"9.882";"9.631";"9.882";"10/01/2019 17:39";"CET";"5354884";"52514137.334"
"CRESCENT";"BE0003836534";"OPTI";"Euronext Brussels";"EUR";"0.0462";"0.0486";"0.046";"0.0486";"10/01/2019 17:23";"CET";"167060";"7974.4124"
"CROSSJECT";"FR0011716265";"ALCJ";"Euronext Growth Paris";"EUR";"1.286";"1.286";"1.24";"1.284";"10/01/2019 17:35";"CET";"17360";"21763.754"
"CROSSWOOD";"FR0000050395";"CROS";"Euronext Paris";"EUR";"4.80";"4.80";"4.80";"4.80";"07/01/2019 11:30";"CET";"5";"24.00"
"CS (COMM.SYSTEMES)";"FR0007317813";"SX";"Euronext Paris";"EUR";"4.36";"4.36";"4.14";"4.20";"10/01/2019 13:24";"CET";"2046";"8686.23"
"CTA HOLDING";"FR0000054066";"MLCTA";"Euronext Access Paris";"EUR";"17.60";"17.60";"17.60";"17.60";"04/04/2018 11:30";"CET";"20";"352.00"
"CTAC";"NL0000345577";"CTAC";"Euronext Amsterdam";"EUR";"2.32";"2.32";"2.32";"2.32";"10/01/2019 09:00";"CET";"1";"2.32"
"CTT CORREIOS PORT";"PTCTT0AM0001";"CTT";"Euronext Lisbon";"EUR";"3.096";"3.096";"3.042";"3.048";"10/01/2019 22:35";"BST";"258443";"790163.998"
"CURETIS";"NL0011509294";"CURE";"Euronext Amsterdam, Brussels";"EUR";"1.68";"1.68";"1.605";"1.61";"10/01/2019 17:29";"CET";"9288";"15284.68"
"CYBERGUN";"FR0013204351";"ALCYB";"Euronext Growth Paris";"EUR";"0.522";"0.544";"0.51";"0.53";"10/01/2019 17:35";"CET";"89681";"46629.735"
"CYBERGUN BSA 1";"FR0013340809";"CYBBS";"Euronext Growth Paris";"EUR";"0.15";"0.15";"0.15";"0.15";"26/11/2018 14:10";"CET";"667";"100.05"
"CYBERGUN BSA 2";"FR0013340817";"CYBBT";"Euronext Growth Paris";"EUR";"0.20";"0.20";"0.20";"0.20";"12/12/2018 13:26";"CET";"300";"60.00"
"D''IETEREN";"BE0974259880";"DIE";"Euronext Brussels";"EUR";"35.22";"35.22";"34.50";"34.58";"10/01/2019 17:35";"CET";"19194";"667099.30"
"D.L.S.I.";"FR0010404368";"ALDLS";"Euronext Growth Paris";"EUR";"16.75";"17.00";"16.75";"17.00";"10/01/2019 15:19";"CET";"611";"10339.65"
"D2L GROUP";"FR0012336675";"MLGEL";"Euronext Access Paris";"EUR";"3.10";"3.10";"3.10";"3.10";"28/12/2018 16:30";"CET";"1";"3.10"
"DALET";"FR0011026749";"DLT";"Euronext Paris";"EUR";"11.80";"11.80";"11.80";"11.80";"10/01/2019 09:00";"CET";"1";"11.80"
"DAMARIS";"FR0000077885";"MLDAM";"Euronext Access Paris";"EUR";"1.62";"1.62";"1.62";"1.62";"01/11/2018 11:30";"CET";"168";"272.16"
"DAMARTEX";"FR0000185423";"ALDAR";"Euronext Growth Paris";"EUR";"19.45";"19.45";"19.45";"19.45";"10/01/2019 09:00";"CET";"1";"19.45"
"DANONE";"FR0000120644";"BN";"Euronext Paris";"EUR";"61.49";"61.80";"61.17";"61.76";"10/01/2019 17:36";"CET";"1433359";"88350680.68"
"DASSAULT AVIATION";"FR0000121725";"AM";"Euronext Paris";"EUR";"1200.00";"1226.00";"1189.00";"1226.00";"10/01/2019 17:35";"CET";"6294";"7645186.00"
"DASSAULT SYST NV19";"FR0013391943";"DSYNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DASSAULT SYSTEMES";"FR0000130650";"DSY";"Euronext Paris";"EUR";"105.80";"107.45";"105.40";"107.45";"10/01/2019 17:39";"CET";"361054";"38512800.85"
"DATBIM";"FR0004177939";"MLDTB";"Euronext Access Paris";"EUR";"1.68";"1.68";"1.68";"1.68";"21/12/2018 16:30";"CET";"100";"168.00"
"DBT";"FR0013066750";"ALDBT";"Euronext Growth Paris";"EUR";"1.01";"1.042";"1.008";"1.042";"10/01/2019 17:35";"CET";"35244";"36012.942"
"DBV TECHNOLOGIES";"FR0010417345";"DBV";"Euronext Paris";"EUR";"13.05";"14.28";"13.00";"14.13";"10/01/2019 17:39";"CET";"767515";"10668589.72"
"DEBFLEX";"FR0010776658";"MLDEX";"Euronext Access Paris";"EUR";"2.68";"2.68";"2.42";"2.42";"05/12/2018 16:30";"CET";"537";"1299.80"
"DECEUNINCK";"BE0003789063";"DECB";"Euronext Brussels";"EUR";"1.97";"1.974";"1.924";"1.93";"10/01/2019 17:35";"CET";"83889";"163011.524"
"DEINOVE";"FR0010879056";"ALDEI";"Euronext Growth Paris";"EUR";"1.70";"1.84";"1.672";"1.83";"10/01/2019 17:29";"CET";"53954";"93891.636"
"DELFINGEN";"FR0000054132";"ALDEL";"Euronext Growth Paris";"EUR";"22.50";"22.50";"22.30";"22.40";"10/01/2019 11:58";"CET";"115";"2575.50"
"DELTA DRONE";"FR0011522168";"ALDR";"Euronext Growth Paris";"EUR";"0.1186";"0.129";"0.1156";"0.1166";"10/01/2019 17:35";"CET";"2029915";"241769.2074"
"DELTA DRONE BSA";"FR0013239977";"ALDBS";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DELTA PLUS GROUP";"FR0013283108";"DLTA";"Euronext Paris";"EUR";"37.20";"37.20";"36.40";"36.40";"10/01/2019 17:35";"CET";"1296";"47757.00"
"DERICHEBOURG";"FR0000053381";"DBG";"Euronext Paris";"EUR";"4.224";"4.224";"3.94";"4.206";"10/01/2019 17:35";"CET";"515758";"2144312.824"
"DESIGN YOUR HOME";"SE0007045380";"MLDYH";"Euronext Access Paris";"EUR";"0.11";"0.12";"0.11";"0.12";"27/11/2018 16:44";"CET";"22581";"2588.91"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Brussels";"EUR";"14.80";"14.805";"14.80";"14.805";"10/01/2019 14:02";"CET";"202";"2990.60"
"DEVERNOIS";"FR0000060840";"ALDEV";"Euronext Growth Paris";"EUR";"67.00";"67.00";"67.00";"67.00";"21/12/2018 16:30";"CET";"30";"2010.00"
"DEVOTEAM";"FR0000073793";"DVT";"Euronext Paris";"EUR";"94.30";"96.80";"91.30";"95.60";"10/01/2019 17:35";"CET";"10329";"967550.30"
"DEXIA";"BE0974290224";"DEXB";"Euronext Brussels";"EUR";"3.71";"3.73";"3.70";"3.70";"10/01/2019 14:37";"CET";"3177";"11809.19"
